id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
643389,"Bachelor Apt, 2nd flr, South Window",3217095,Mark,,South Parkdale,43.63589,-79.42796,Entire home/apt,65,28,3,2017-05-20,0.05,1,0,0,
643916,Basement apartment (1 bdrm) in lower Junction,574360,Yvonne,,Junction Area,43.66308,-79.47795,Entire home/apt,120,28,5,2014-09-15,0.06,1,0,0,
654048,4 Bedroom House in Toronto Spacious Private Clean,3289972,Minoo,,Morningside,43.7837,-79.20675,Entire home/apt,290,28,15,2020-11-04,0.14,1,363,0,
655522,Sunny and Charming Apartment,3299954,Basil,,Kensington-Chinatown,43.65667,-79.39539,Entire home/apt,85,28,29,2014-10-20,0.26,1,0,0,
666670,Super Studio in the Upper Beach II,377846,Nick & Nena,,East End-Danforth,43.68614,-79.29126,Entire home/apt,57,28,45,2020-03-31,0.54,10,312,0,
669162,SPECTACULAR VIEW DWNTOWN TORONTO.,2942180,Jerry,,Cabbagetown-South St.James Town,43.66667,-79.37502,Entire home/apt,225,28,0,,,1,358,0,
670171,Refreshing High Park Apt - close to Lake / Nature,3395349,Suzanna,,High Park North,43.65627,-79.45863,Entire home/apt,95,28,0,,,1,309,0,
674193,"Comfortable, cozy home in convenient mid-town.",3422913,Rosalie,,Mount Pleasant West,43.70314,-79.39612,Private room,65,28,97,2018-10-23,1.04,1,33,1,
701230,Authentic Bright Artist's Loft,3587917,Darby,,High Park North,43.65873,-79.45336,Entire home/apt,100,28,15,2018-06-20,0.14,1,0,0,
702286,Beautiful Garden Apt With Porches,3604846,Wies,,High Park-Swansea,43.65374,-79.45359,Entire home/apt,137,28,18,2018-03-20,0.16,4,214,1,
703124,Beautiful large 3 bdrm in High Park Roncesvalles,3604846,Wies,,High Park-Swansea,43.65329,-79.45257,Entire home/apt,185,28,23,2021-11-01,0.24,4,159,1,
703133,2 BDRM 2000SF Executive Suite,3604846,Wies,,High Park-Swansea,43.65563,-79.45259,Entire home/apt,165,28,4,2019-04-20,0.04,4,218,0,
728817,Charming Victorian Home,3783106,Jeremy And Monica,,Roncesvalles,43.64147,-79.44633,Entire home/apt,390,5,9,2016-07-18,0.14,1,302,0,STR-2012-HGVHHJ
732562,Your Leaside Home Near Sunnybrook,3814089,Liz,,Leaside-Bennington,43.71558,-79.36382,Entire home/apt,98,30,166,2020-06-19,2.08,1,334,3,STR-2009-FFHDPB
755263,Furnished Downtown Studio Suite 3,304551,Kintoo,,University,43.66229,-79.40904,Private room,45,58,1,2015-06-21,0.01,4,339,0,
756619,Winchester Suite /  Large Modern Bedroom Downtown,3982898,Andrew,,Cabbagetown-South St.James Town,43.664642,-79.371208,Private room,68,5,55,2019-07-03,0.67,3,119,3,STR-2010-HLLXPK
762143,Hidden lakeview oasis downtown,4017316,Patricia,,Waterfront Communities-The Island,43.63708,-79.39198,Entire home/apt,95,180,6,2017-06-03,0.09,1,91,0,
762427,"Central, beside subway, indoor pool, entire home",1591140,Christina,,Mount Pleasant West,43.70371,-79.39534,Entire home/apt,83,5,49,2018-03-17,0.54,2,234,5,STR-2011-HMBDVK
762472,Amazing Loft for rent downtown T.O.,4019741,Peter,,Moss Park,43.65036,-79.36823,Entire home/apt,139,28,0,,,1,0,0,
771141,Studio Loft/Walk to Eaton Center,4068231,Margaret,,Moss Park,43.65802,-79.37108,Entire home/apt,101,28,26,2019-06-23,0.75,3,317,1,
775965,T.O West End / Beautiful Loft in High Park,1581404,Jessica Joy,,Roncesvalles,43.65212,-79.44969,Entire home/apt,110,28,6,2019-07-31,0.09,1,342,3,
777132,Nice view in uptown Toronto!,1664833,Romain,,Don Valley Village,43.77656,-79.35063,Private room,45,1,156,2021-09-03,1.54,1,319,47,STR-2012-JGMBHM
779670,Rosedale Furnished Modern 4 Bed House Prking&Yard,4111007,Stephanie,,Rosedale-Moore Park,43.67716,-79.38653,Entire home/apt,410,28,1,2019-05-10,0.03,1,280,0,
788710,Luxury Toronto Apartment,844281,Richard,,High Park-Swansea,43.64366,-79.45216,Entire home/apt,80,30,2,2020-04-14,0.02,1,0,0,
789266,Walk to Trendy Eateries from a Vibrant Apartment,3921786,Michelle,,Junction Area,43.66682,-79.47394,Entire home/apt,125,3,90,2021-11-15,2.35,1,143,21,STR-2009-JCLXPM
790887,Yonge & Wellesley Prime Downtown Shared Apartment,2056128,Robert,,Church-Yonge Corridor,43.66414,-79.38351,Private room,101,1,343,2021-11-27,3.43,2,3,81,STR-2010-HGDRPJ
791012,1+ den near CN Tower w/ parking,4167411,Andie,,Waterfront Communities-The Island,43.63923,-79.39358,Entire home/apt,130,28,4,2015-08-16,0.05,1,0,0,
794506,Beautiful suite in Downtown Toronto,4186011,Oron,,Waterfront Communities-The Island,43.64028,-79.3907,Entire home/apt,149,3,51,2021-10-23,0.94,1,66,15,STR-2011-HZQKVM
796501,Stunning modern bachelor apartment,4195876,Dale,,Casa Loma,43.68212,-79.40447,Private room,154,28,91,2020-01-01,1.18,2,365,0,
799800,"LONG-TERM, FEMALES, CLEAN, COZY-AIRPORT P/U POSS.",1786233,Mina,,Thistletown-Beaumond Heights,43.73732,-79.5744,Private room,20,28,23,2017-09-17,0.22,1,262,0,
822085,Beautiful Deluxe Toronto Home,4316883,Scott,,Rosedale-Moore Park,43.689,-79.37799,Entire home/apt,950,3,8,2021-08-21,0.10,1,327,1,STR-2012-HWXVHL
827774,Beautiful House in Central Toronto,4340437,Ted,,Danforth,43.68255,-79.33506,Private room,85,28,0,,,1,0,0,
833588,Lovely place in prime Yorkville,4361863,Henry,,Annex,43.66943,-79.39085,Entire home/apt,115,28,7,2013-08-01,0.10,1,302,1,
835116,Comfy 1BD Great Location! Park Free,2019357,Tyrone,,South Riverdale,43.66152,-79.34284,Entire home/apt,109,28,22,2015-09-15,0.28,1,0,0,
842016,"Beautiful, Bright, Fully Furnished",1930866,Drea,,Casa Loma,43.68388,-79.40719,Shared room,76,28,0,,,1,0,0,
